rank,city1,city2,iata1,iata2,route_code,pax_to,pax_from,total_passengers,route_weight_percent,cumulative_weight_percent
750,BHUBANESWAR,KOCHI,BBI,COK,BBI-COK,12,10,22,0.0,99.9998
751,PORT BLAIR,PUNE,IXZ,PNQ,IXZ-PNQ,21,0,21,0.0,99.9998
752,DIBRUGARH,LILABARI,,,DIBRUGARH-LILABARI,12,8,20,0.0,99.9998
753,JAIPUR,LEH,JAI,IXL,JAI-IXL,0,20,20,0.0,99.9998
754,DABOLIM,VARANASI,GOI,VNS,GOI-VNS,19,0,19,0.0,99.9998
755,JABALPUR,JAIPUR,,JAI,JABALPUR-JAIPUR,19,0,19,0.0,99.9998
756,NAGPUR,TRIVANDRUM,NAG,TRV,NAG-TRV,7,12,19,0.0,99.9998
757,DURGAPUR,SRINAGAR,,SXR,DURGAPUR-SRINAGAR,0,18,18,0.0,99.9999
758,CHANDIGARH,RAIPUR,IXC,RPR,IXC-RPR,0,17,17,0.0,99.9999
759,GUWAHATI,VISAKHAPATNAM,GAU,VTZ,GAU-VTZ,0,17,17,0.0,99.9999
760,PUNE,VADODARA,PNQ,BDQ,PNQ-BDQ,17,0,17,0.0,99.9999
761,LILABARI,PASIGHAT,,,LILABARI-PASIGHAT,3,13,16,0.0,99.9999
762,ALLAHABAD,CHENNAI,,MAA,ALLAHABAD-CHENNAI,15,0,15,0.0,99.9999
763,DIMAPUR,SILCHAR,,,DIMAPUR-SILCHAR,5,8,13,0.0,99.9999
764,MANGALORE,PATNA,IXE,PAT,IXE-PAT,13,0,13,0.0,99.9999
765,JABALPUR,JODHPUR,,JDH,JABALPUR-JODHPUR,11,0,11,0.0,99.9999
766,COIMBATORE,TRIVANDRUM,CJB,TRV,CJB-TRV,0,9,9,0.0,99.9999
767,BAGDOGRA,JAIPUR,IXB,JAI,IXB-JAI,8,0,8,0.0,100.0
768,DURGAPUR,SHIRDI,,,DURGAPUR-SHIRDI,0,8,8,0.0,100.0
769,CHANDIGARH,GORAKHPUR,IXC,,CHANDIGARH-GORAKHPUR,0,6,6,0.0,100.0
770,GAYA,JAIPUR,,JAI,GAYA-JAIPUR,6,0,6,0.0,100.0
771,COIMBATORE,VARANASI,CJB,VNS,CJB-VNS,5,0,5,0.0,100.0
772,RAIPUR,VARANASI,RPR,VNS,RPR-VNS,4,1,5,0.0,100.0
773,CHENNAI,KOLHAPUR,MAA,,CHENNAI-KOLHAPUR,0,4,4,0.0,100.0
774,DIU,PUNE,,PNQ,DIU-PUNE,0,4,4,0.0,100.0
775,GORAKHPUR,SRINAGAR,,SXR,GORAKHPUR-SRINAGAR,4,0,4,0.0,100.0
776,AHMEDABAD,SURAT,AMD,STV,AMD-STV,0,3,3,0.0,100.0
777,BHUBANESWAR,DABOLIM,BBI,GOI,BBI-GOI,0,3,3,0.0,100.0
778,CHANDIGARH,JAMMU,IXC,IXJ,IXC-IXJ,3,0,3,0.0,100.0
779,DURGAPUR,LUCKNOW,,LKO,DURGAPUR-LUCKNOW,3,0,3,0.0,100.0
780,JABALPUR,RAIPUR,,RPR,JABALPUR-RAIPUR,3,0,3,0.0,100.0
781,AGARTALA,JORHAT,IXA,,AGARTALA-JORHAT,0,2,2,0.0,100.0
782,HYDERABAD,KANDLA,HYD,,HYDERABAD-KANDLA,0,2,2,0.0,100.0
783,INDORE,MADURAI,IDR,IXM,IDR-IXM,0,2,2,0.0,100.0
784,AIZAWL,SILCHAR,,,AIZAWL-SILCHAR,1,0,1,0.0,100.0
785,BHOPAL,GWALIOR,BHO,,BHOPAL-GWALIOR,1,0,1,0.0,100.0
786,MANGALORE,TRIVANDRUM,IXE,TRV,IXE-TRV,0,1,1,0.0,100.0
